,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
1790,1790,1791,https://lancersagent.com/project/pm/00616481721318767fc8452c,"定番【週3日･4日/PdM】                                【40代向け】自社プロダクトにおけるマネジメント業務                            週3日･4日 | 700,000〜900,000円 / 月PdM週3日･4日渋谷・新宿（白金高輪駅）自社プロダクトの導入プロジェクトに携わっていただきます！・アプリベンダー/SIerへのSDK導入支援・クライアントから技術要件のヒアリング/社内調整・ベンダーコントロール詳細を見る",PdM,,週3日･4日,渋谷・新宿（白金高輪駅）,【40代向け】自社プロダクトにおけるマネジメント業務 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481721318767fc8452c,"自社プロダクトの導入プロジェクトに携わっていただきます！
・アプリベンダー/SIerへのSDK導入支援
・クライアントから技術要件のヒアリング/社内調整
・ベンダーコントロール/PM/管理のみ/渋谷・新宿",【週3日･4日/】,【40代向け】自社プロダクトにおけるマネジメント業務,"700,000〜900,000円/ 月※ 消費税別の実際にお渡しする金額です",PdM,,週3日･4日,渋谷・新宿（白金高輪駅）,自社プロダクトの導入プロジェクトに携わっていただきます！・アプリベンダー/SIerへのSDK導入支援・クライアントから技術要件のヒアリング/社内調整・ベンダーコントロール,PdM,,・3年以上のプロジェクト管理のご経験・クライアントとの折衝経験・英語に抵抗がない※英語での会話は発生しませんがテキストコミニケーションが発生する可能性がございます,-,"週3日･4日                            
(ﾘﾓｰﾄ：可)","700,000〜900,000円",渋谷・新宿（白金高輪駅）,業務委託,,案件ID：000006103683,
1792,1792,1793,https://lancersagent.com/project/pm/00616481721696067fc84319,"定番【週3日･4日/[PM]国内最大級の入退室管理システム】                                【40代向け】国内最大級の入退室管理システムのPM業務                            週3日･4日 | 600,000〜900,000円 / 月[PM]国内最大級の入退室管理システムJavaScript・Ruby週3日･4日五反田・恵比寿・六本木（田町駅）【案件概要】開発メンバーマネジメント効率的な開発体制作りAkerunの基盤となるAkerun APIの開発・運用AkerunをコントロールするAkerun Connectの開発・運用Akerunと連携する新サービスの開発外部のアライアンス先との仕様検討・サービス設計詳細を見る",[PM]国内最大級の入退室管理システム,JavaScript・Ruby,週3日･4日,五反田・恵比寿・六本木（田町駅）,【40代向け】国内最大級の入退室管理システムのPM業務 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481721696067fc84319,"【案件概要】
開発メンバーマネジメント
効率的な開発体制作り
Akerunの基盤となるAkerun APIの開発・運用
AkerunをコントロールするAkerun Connectの開発・運用
Akerunと連携する新サービスの開発
外部のアライアンス先との仕様検討・サービス設計
/PM/管理のみ/五反田・恵比寿・六本木",【週3日･4日/JavaScript・Ruby】,【40代向け】国内最大級の入退室管理システムのPM業務,"600,000〜900,000円/ 月※ 消費税別の実際にお渡しする金額です",[PM]国内最大級の入退室管理システム,JavaScript・Ruby,週3日･4日,五反田・恵比寿・六本木（田町駅）,【案件概要】開発メンバーマネジメント効率的な開発体制作りAkerunの基盤となるAkerun APIの開発・運用AkerunをコントロールするAkerun Connectの開発・運用Akerunと連携する新サービスの開発外部のアライアンス先との仕様検討・サービス設計,[PM]国内最大級の入退室管理システム,JavaScript・Ruby,プロジェクトマネジメント経験（3年以上）WEBアプリケーション開発・運用経験（1年以上）エンジニアとして要件定義、設計、開発、テスト、運用まで一通りの業務経験採用、育成活動にも積極的に参加出来る方技術トレンドに対する感度が高い方WEBアプリケーション開発・運用経験（3年以上）,管理職もしくはチームリーダー経験プロダクトマネジメント経験Ruby on Railsの経験JSフレームワークを利用した開発経験（Vue.js、Angular、Reactなど）AWS、GCP環境下での開発経験高負荷サービスでのプロジェクト経験コンテナ技術を利用したシステムの開発経験,"週3日･4日                            
(ﾘﾓｰﾄ：可)","600,000〜900,000円",五反田・恵比寿・六本木（田町駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103685,
1798,1798,1799,https://lancersagent.com/project/pm/00616481724995756fc85a15,"定番【週3日･4日/PM(スクラムマスター)】                                【40代向け】PM自社AIデータプラットフォームのWebアプリケーション開発                            週3日･4日 | 500,000〜760,000円 / 月PM(スクラムマスター)‐週3日･4日水道橋・飯田橋（市ヶ谷駅）事業戦略に則し、エンジニアやデザイナー、ビジネスサイドのメンバーと協力しながら開発効率を最大化させるマネジメント業務。・プロダクトの課題を発見し、開発チームと協力して解決を図る・事業戦略に基づくプロダクト機能開発、グロースのロードマップ策定、施策実施・開発チーム以外の部署やステークホルダーとの合意形成および開発の優先順位決定詳細を見る",PM(スクラムマスター),‐,週3日･4日,水道橋・飯田橋（市ヶ谷駅）,【40代向け】PM自社AIデータプラットフォームのWebアプリケーション開発 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481724995756fc85a15,"事業戦略に則し、エンジニアやデザイナー、ビジネスサイドのメンバーと協力しながら開発効率を最大化させるマネジメント業務。

・プロダクトの課題を発見し、開発チームと協力して解決を図る
・事業戦略に基づくプロダクト機能開発、グロースのロードマップ策定、施策実施
・開発チーム以外の部署やステークホルダーとの合意形成および開発の優先順位決定/PM/管理のみ/水道橋・飯田橋",【週3日･4日/】,【40代向け】PM自社AIデータプラットフォームのWebアプリケーション開発,"500,000〜760,000円/ 月※ 消費税別の実際にお渡しする金額です",PM(スクラムマスター),,週3日･4日,水道橋・飯田橋（市ヶ谷駅）,事業戦略に則し、エンジニアやデザイナー、ビジネスサイドのメンバーと協力しながら開発効率を最大化させるマネジメント業務。・プロダクトの課題を発見し、開発チームと協力して解決を図る・事業戦略に基づくプロダクト機能開発、グロースのロードマップ策定、施策実施・開発チーム以外の部署やステークホルダーとの合意形成および開発の優先順位決定,PM(スクラムマスター),‐,・Webアプリケーション開発チームでのプロダクトマネジメントの経験・スクラム開発手法の実践経験・定量・定性情報を元に継続的にPDCAを回した経験,・新規プロダクトの立ち上げとその後のグロースに携わった経験・外注ベンダー管理経験・最新技術についての情報収集に手間を惜しまない・ロジカルな考え方、問題解決のスキル、高いコミュニケーション能力がある方・向上心が高く、自走力のある方,"週3日･4日                            
(ﾘﾓｰﾄ：可)","500,000〜760,000円",水道橋・飯田橋（市ヶ谷駅）,業務委託,-,案件ID：000006103691,
1832,1832,1833,https://lancersagent.com/project/pm/0061648171932802fc8459d,"注目【週3日･4日/［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件】                                【40代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件                            週3日･4日 | 600,000〜1,400,000円 / 月［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件Java・Typescript・SpringBoot2.4.4週3日･4日渋谷・新宿（新宿）企画：画面の構成を検討したり、競合他社とのサービス比較してどんなサービスにするかといった要件を出して頂きます。既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。業務整理後、システム要件への落とし込みなど。詳細を見る",［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript・SpringBoot2.4.4,週3日･4日,渋谷・新宿（新宿）,【40代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/0061648171932802fc8459d,"企画：画面の構成を検討したり、競合他社とのサービス比較して
どんなサービスにするかといった要件を出して頂きます。

既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。
業務整理後、システム要件への落とし込みなど。/PM/管理のみ/渋谷・新宿",【週3日･4日/Java・Typescript】,【40代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,"600,000〜1,400,000円/ 月※ 消費税別の実際にお渡しする金額です",［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript,週3日･4日,渋谷・新宿（新宿）,企画：画面の構成を検討したり、競合他社とのサービス比較してどんなサービスにするかといった要件を出して頂きます。既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。業務整理後、システム要件への落とし込みなど。,［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript・SpringBoot2.4.4,"・業務内容の様なサービス企画経験・JAVA, SpringBootを利用した開発経験・自発的に行動ができ、課題解決ができる・顧客とコミュニケーションをとりながら作業ができる",・Kotlinを利用した開発・IntelliIntellijを利用した開発・ typescriptを利用した開発経験,"週3日･4日                            
(ﾘﾓｰﾄ：可)","600,000〜1,400,000円",渋谷・新宿（新宿）,業務委託,,案件ID：000006103676,
1835,1835,1836,https://lancersagent.com/project/pm/00616481733148217fc8580c,"定番【週3日･4日･5日/[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー】                                【即日採用！】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー                            週3日･4日･5日 | 800,000〜1,600,000円 / 月[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー週3日･4日･5日渋谷・新宿（本郷三丁目駅）・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント詳細を見る",[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,週3日･4日･5日,渋谷・新宿（本郷三丁目駅）,                【即日採用！】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/00616481733148217fc8580c,"・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー
・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計
・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント
/PM/管理のみ/渋谷・新宿",【週3日･4日･5日/】,【即日採用！】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,"800,000〜1,600,000円/ 月※ 消費税別の実際にお渡しする金額です",[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,週3日･4日･5日,渋谷・新宿（本郷三丁目駅）,・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント,[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,・コンサルティングワークの経験（プロジェクトマネージャークラス）があること・SCM（特に計画系業務）の業務改善に関する知見があること（実プロジェクトとしての経験が望ましい）,・AIテーマ（予測、最適化など）への派生を前提としたコンサルティングの経験があること・食品メーカーにおけるプロジェクト経験を持っていること,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","800,000〜1,600,000円",渋谷・新宿（本郷三丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103728,
1846,1846,1847,https://lancersagent.com/project/pm/00616481048254314fc83c61,"定番【週3日･4日/PdM】                                【30代向け】自社プロダクトにおけるマネジメント業務                            週3日･4日 | 700,000〜900,000円 / 月PdM週3日･4日渋谷・新宿（白金高輪駅）自社プロダクトの導入プロジェクトに携わっていただきます！・アプリベンダー/SIerへのSDK導入支援・クライアントから技術要件のヒアリング/社内調整・ベンダーコントロール詳細を見る",PdM,,週3日･4日,渋谷・新宿（白金高輪駅）,【30代向け】自社プロダクトにおけるマネジメント業務 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481048254314fc83c61,"自社プロダクトの導入プロジェクトに携わっていただきます！
・アプリベンダー/SIerへのSDK導入支援
・クライアントから技術要件のヒアリング/社内調整
・ベンダーコントロール/PM/管理のみ/渋谷・新宿",【週3日･4日/】,【30代向け】自社プロダクトにおけるマネジメント業務,"700,000〜900,000円/ 月※ 消費税別の実際にお渡しする金額です",PdM,,週3日･4日,渋谷・新宿（白金高輪駅）,自社プロダクトの導入プロジェクトに携わっていただきます！・アプリベンダー/SIerへのSDK導入支援・クライアントから技術要件のヒアリング/社内調整・ベンダーコントロール,PdM,,・3年以上のプロジェクト管理のご経験・クライアントとの折衝経験・英語に抵抗がない※英語での会話は発生しませんがテキストコミニケーションが発生する可能性がございます,-,"週3日･4日                            
(ﾘﾓｰﾄ：可)","700,000〜900,000円",渋谷・新宿（白金高輪駅）,業務委託,,案件ID：000006103623,
1848,1848,1849,https://lancersagent.com/project/pm/00616481048984117fc85497,"定番【週3日･4日/[PM]国内最大級の入退室管理システム】                                【30代向け】国内最大級の入退室管理システムのPM業務                            週3日･4日 | 600,000〜900,000円 / 月[PM]国内最大級の入退室管理システムJavaScript・Ruby週3日･4日五反田・恵比寿・六本木（田町駅）【案件概要】開発メンバーマネジメント効率的な開発体制作りAkerunの基盤となるAkerun APIの開発・運用AkerunをコントロールするAkerun Connectの開発・運用Akerunと連携する新サービスの開発外部のアライアンス先との仕様検討・サービス設計詳細を見る",[PM]国内最大級の入退室管理システム,JavaScript・Ruby,週3日･4日,五反田・恵比寿・六本木（田町駅）,【30代向け】国内最大級の入退室管理システムのPM業務 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481048984117fc85497,"【案件概要】
開発メンバーマネジメント
効率的な開発体制作り
Akerunの基盤となるAkerun APIの開発・運用
AkerunをコントロールするAkerun Connectの開発・運用
Akerunと連携する新サービスの開発
外部のアライアンス先との仕様検討・サービス設計
/PM/管理のみ/五反田・恵比寿・六本木",【週3日･4日/JavaScript・Ruby】,【30代向け】国内最大級の入退室管理システムのPM業務,"600,000〜900,000円/ 月※ 消費税別の実際にお渡しする金額です",[PM]国内最大級の入退室管理システム,JavaScript・Ruby,週3日･4日,五反田・恵比寿・六本木（田町駅）,【案件概要】開発メンバーマネジメント効率的な開発体制作りAkerunの基盤となるAkerun APIの開発・運用AkerunをコントロールするAkerun Connectの開発・運用Akerunと連携する新サービスの開発外部のアライアンス先との仕様検討・サービス設計,[PM]国内最大級の入退室管理システム,JavaScript・Ruby,プロジェクトマネジメント経験（3年以上）WEBアプリケーション開発・運用経験（1年以上）エンジニアとして要件定義、設計、開発、テスト、運用まで一通りの業務経験採用、育成活動にも積極的に参加出来る方技術トレンドに対する感度が高い方WEBアプリケーション開発・運用経験（3年以上）,管理職もしくはチームリーダー経験プロダクトマネジメント経験Ruby on Railsの経験JSフレームワークを利用した開発経験（Vue.js、Angular、Reactなど）AWS、GCP環境下での開発経験高負荷サービスでのプロジェクト経験コンテナ技術を利用したシステムの開発経験,"週3日･4日                            
(ﾘﾓｰﾄ：可)","600,000〜900,000円",五反田・恵比寿・六本木（田町駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103625,
1890,1890,1891,https://lancersagent.com/project/pm/00616480905805526fc83c9a,"注目【週3日･4日/［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件】                                【30代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件                            週3日･4日 | 600,000〜1,400,000円 / 月［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件Java・Typescript・SpringBoot2.4.4週3日･4日渋谷・新宿（新宿）企画：画面の構成を検討したり、競合他社とのサービス比較してどんなサービスにするかといった要件を出して頂きます。既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。業務整理後、システム要件への落とし込みなど。詳細を見る",［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript・SpringBoot2.4.4,週3日･4日,渋谷・新宿（新宿）,【30代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616480905805526fc83c9a,"企画：画面の構成を検討したり、競合他社とのサービス比較して
どんなサービスにするかといった要件を出して頂きます。

既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。
業務整理後、システム要件への落とし込みなど。/PM/管理のみ/渋谷・新宿",【週3日･4日/Java・Typescript】,【30代向け】フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,"600,000〜1,400,000円/ 月※ 消費税別の実際にお渡しする金額です",［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript,週3日･4日,渋谷・新宿（新宿）,企画：画面の構成を検討したり、競合他社とのサービス比較してどんなサービスにするかといった要件を出して頂きます。既存業務をステークホルダーとコミュニケーションをとりながら整理を行い資料化（ワイヤー作成など）、既存コードの解析。業務整理後、システム要件への落とし込みなど。,［PM］フードデリバリー企業向け社内管理システムリプレイス／エンハンス案件,Java・Typescript・SpringBoot2.4.4,"・業務内容の様なサービス企画経験・JAVA, SpringBootを利用した開発経験・自発的に行動ができ、課題解決ができる・顧客とコミュニケーションをとりながら作業ができる",・Kotlinを利用した開発・IntelliIntellijを利用した開発・ typescriptを利用した開発経験,"週3日･4日                            
(ﾘﾓｰﾄ：可)","600,000〜1,400,000円",渋谷・新宿（新宿）,業務委託,,案件ID：000006103615,
1893,1893,1894,https://lancersagent.com/project/pm/00616481198481009fc85e51,"定番【週3日･4日/[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー】                                【30代向け】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー                            週3日･4日 | 800,000〜1,600,000円 / 月[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー週3日･4日渋谷・新宿（本郷三丁目駅）・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント詳細を見る",[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,週3日･4日,渋谷・新宿（本郷三丁目駅）,【30代向け】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616481198481009fc85e51,"・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー
・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計
・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント
/PM/管理のみ/渋谷・新宿",【週3日･4日/】,【30代向け】SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,"800,000〜1,600,000円/ 月※ 消費税別の実際にお渡しする金額です",[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,週3日･4日,渋谷・新宿（本郷三丁目駅）,・需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー・具体的には、クライアントのサプライチェーンに対する業務課題整理、AI導入による解決を前提としたToBe要件の整理、業務設計・クライアントとの定期的なMTGをリードし、フィードバックに応じた軌道修正のマネジメント,[PM]SCM/需要予測ソリューションの導入に向けたアセスメントフェーズのプロジェクトマネジャー,,・コンサルティングワークの経験（プロジェクトマネージャークラス）があること・SCM（特に計画系業務）の業務改善に関する知見があること（実プロジェクトとしての経験が望ましい）,・AIテーマ（予測、最適化など）への派生を前提としたコンサルティングの経験があること・食品メーカーにおけるプロジェクト経験を持っていること,"週3日･4日                            
(ﾘﾓｰﾄ：可)","800,000〜1,600,000円",渋谷・新宿（本郷三丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103668,
1916,1916,1917,https://lancersagent.com/project/pm/00616480235675412fc855a8,"急募【週3日/PM】                                【20代向け】PM/自社プロダクトにおけるプロジェクトマネージャー                            週3日 | 480,000〜1,080,000円 / 月PMJava・Scala・Swift・AndroidJava・Kotlin・Play・Framework・SlickAngular・Ngxs週3日五反田・恵比寿・六本木（恵比寿駅）弊社は「人口減少社会」に対してテクノロジーを通じた価値貢献を実現するためにWEBサービスを展開しております。プロダクトは大きく3つあるのでその中におけるプロジェクトマネージャー（PM）として業務をお任せします。ご自身の希望などの詳細については面談時にすり合わせをして最適なプロダクトへのアサインができればと思います。詳細を見る",PM,Java・Scala・Swift・AndroidJava・Kotlin・Play・Framework・SlickAngular・Ngxs,週3日,五反田・恵比寿・六本木（恵比寿駅）,【20代向け】PM/自社プロダクトにおけるプロジェクトマネージャー | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616480235675412fc855a8,"弊社は「人口減少社会」に対してテクノロジーを通じた価値貢献を実現するためにWEBサービスを展開しております。

プロダクトは大きく3つあるのでその中におけるプロジェクトマネージャー（PM）として業務をお任せします。

ご自身の希望などの詳細については面談時にすり合わせをして最適なプロダクトへのアサインができればと思います。
/PM/管理のみ/五反田・恵比寿・六本木",【週3日/Java・Scala・Swift・AndroidJava・Kotlin】,【20代向け】PM/自社プロダクトにおけるプロジェクトマネージャー,"480,000〜1,080,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,Java・Scala・Swift・AndroidJava・Kotlin,週3日,五反田・恵比寿・六本木（恵比寿駅）,弊社は「人口減少社会」に対してテクノロジーを通じた価値貢献を実現するためにWEBサービスを展開しております。プロダクトは大きく3つあるのでその中におけるプロジェクトマネージャー（PM）として業務をお任せします。ご自身の希望などの詳細については面談時にすり合わせをして最適なプロダクトへのアサインができればと思います。,PM,"Java・Scala・Swift・AndroidJava・Kotlin・Play・Framework・Slick
Angular・Ngxs",・要件定義のご経験・プロジェクトマネージャーとしての実務経験・メンバーマネジメントの経験・受け入れテストのご経験,"・PMP, プロジェクトマネージャの資格保有者・オフショアマネジメントの経験・アジャイル開発プロジェクトのマネジメント経験・自社プロダクト開発のプロジェクトマネジメント経験・労務系の知識・スクラムマスター経験・SEOの知識","週3日                            
(ﾘﾓｰﾄ：可)","480,000〜1,080,000円",五反田・恵比寿・六本木（恵比寿駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103568,
1918,1918,1919,https://lancersagent.com/project/pm/00616480236284202fc83e6c,"注目【週3日/PMO】                                【20代向け】コンテンツ配信管理システム開発のPMO業務                            週3日 | 700,000〜900,000円 / 月PMOJava・Typescript週3日新橋・銀座・東京（東銀座駅）コンテンツ配信管理システムのプロジェクト管理支援を担当していただきます＜技術スタック＞・Java・Oracle詳細を見る",PMO,Java・Typescript,週3日,新橋・銀座・東京（東銀座駅）,【20代向け】コンテンツ配信管理システム開発のPMO業務 | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616480236284202fc83e6c,"コンテンツ配信管理システムのプロジェクト管理支援を担当していただきます

＜技術スタック＞
・Java
・Oracle/PM/実務含む/新橋・銀座・東京",【週3日/Java・Typescript】,【20代向け】コンテンツ配信管理システム開発のPMO業務,"700,000〜900,000円/ 月※ 消費税別の実際にお渡しする金額です",PMO,Java・Typescript,週3日,新橋・銀座・東京（東銀座駅）,コンテンツ配信管理システムのプロジェクト管理支援を担当していただきます＜技術スタック＞・Java・Oracle,PMO,Java・Typescript,・プロジェクトマネジメントの経験・品質管理プロセスの経験,・フルリモート環境での業務経験,"週3日                            
(ﾘﾓｰﾄ：可)","700,000〜900,000円",新橋・銀座・東京（東銀座駅）,業務委託,PC持ち込み,案件ID：000006103570,
1939,1939,1940,https://lancersagent.com/project/pm/00616480249972895fc84a21,"注目【週3日/【アーキテクト】基幹システム開発プロジェクト】                                【20代向け】アーキテクト_基幹システム開発プロジェクト                            週3日 | 700,000〜860,000円 / 月【アーキテクト】基幹システム開発プロジェクトHTML・CSS・JavaScript・Java・SQL・Spring週3日新橋・銀座・東京（豊洲駅）基幹システム(セミナー管理システム)の構築をお願いできるITアーキテクトを探しております。依頼予定の業務としては上記の通り基幹システムの構築及び、システム方式設計／基盤設計となります。基本的にWebアプリケーションのITアーキテクトやテックリードとしてのご経験が豊富な方ですと今回案件にマッチするかと存じます。詳細を見る",【アーキテクト】基幹システム開発プロジェクト,HTML・CSS・JavaScript・Java・SQL・Spring,週3日,新橋・銀座・東京（豊洲駅）,【20代向け】アーキテクト_基幹システム開発プロジェクト | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/pm/00616480249972895fc84a21,"基幹システム(セミナー管理システム)の構築をお願いできるITアーキテクトを探しております。依頼予定の業務としては上記の通り基幹システムの構築及び、システム方式設計／基盤設計となります。

基本的にWebアプリケーションのITアーキテクトやテックリードとしてのご経験が豊富な方ですと
今回案件にマッチするかと存じます。/PM/実務含む/新橋・銀座・東京",【週3日/HTML・CSS・JavaScript・Java・SQL】,【20代向け】アーキテクト_基幹システム開発プロジェクト,"700,000〜860,000円/ 月※ 消費税別の実際にお渡しする金額です",【アーキテクト】基幹システム開発プロジェクト,HTML・CSS・JavaScript・Java・SQL,週3日,新橋・銀座・東京（豊洲駅）,基幹システム(セミナー管理システム)の構築をお願いできるITアーキテクトを探しております。依頼予定の業務としては上記の通り基幹システムの構築及び、システム方式設計／基盤設計となります。基本的にWebアプリケーションのITアーキテクトやテックリードとしてのご経験が豊富な方ですと今回案件にマッチするかと存じます。,【アーキテクト】基幹システム開発プロジェクト,HTML・CSS・JavaScript・Java・SQL・Spring,・WebアプリケーションのITアーキテクト(またはテックリード)として従事したことがある方,※いずれか1つがあると良い・基幹系システムのWebフロントエンドの基盤を設計したことがある方・システム移行の設計を行ったことがある方(ETLツール活用して構築、など)・Spring Frameworkのコア機能をカスタマイズできる方(Spring SecurityやSpring Sessionなど)・開発プロジェクトでIPAの非機能要求グレード2018を活用したことがある方,"週3日                            
(ﾘﾓｰﾄ：可)","700,000〜860,000円",新橋・銀座・東京（豊洲駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103592,
