,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
536,536,537,https://lancersagent.com/project/designer/00616502570414552fc8567c,"注目【週3日/Webデザイナー】                                【即日採用！】Webデザイナー/輸入車サービスのLP制作やサイトデザイン業務                            週3日 | 240,000〜500,000円 / 月WebデザイナーHTML・CSS・JavaScript・Illustrator・Photoshop・XD週3日神奈川（新横浜駅）車関連サービスの開発チームや社内プロダクト関連の、デザイン作成業務を行っていただきます。主に下記3点を想定・継続改善フェーズのデザイン業務・新サービス立ち上げデザイン業務・ディレクターからの課題解決に向けたデザイン業務詳細を見る",Webデザイナー,HTML・CSS・JavaScript・Illustrator・Photoshop・XD,週3日,神奈川（新横浜駅）,                【即日採用！】Webデザイナー/輸入車サービスのLP制作やサイトデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616502570414552fc8567c,"車関連サービスの開発チームや社内プロダクト関連の、デザイン作成業務を行っていただきます。

主に下記3点を想定
・継続改善フェーズのデザイン業務
・新サービス立ち上げデザイン業務
・ディレクターからの課題解決に向けたデザイン業務
/デザイナー/WEB/神奈川",【週3日/HTML・CSS・JavaScript】,【即日採用！】Webデザイナー/輸入車サービスのLP制作やサイトデザイン業務,"240,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー,HTML・CSS・JavaScript,週3日,神奈川（新横浜駅）,車関連サービスの開発チームや社内プロダクト関連の、デザイン作成業務を行っていただきます。主に下記3点を想定・継続改善フェーズのデザイン業務・新サービス立ち上げデザイン業務・ディレクターからの課題解決に向けたデザイン業務,Webデザイナー,HTML・CSS・JavaScript・Illustrator・Photoshop・XD,・正社員希望・20代・熱意がある・出社OK,"・デザイナー経験・車関連の仕事が好き・Adobeツール使用経験（Illustrator,Photoshop,XD）・課題解決に取り組む姿勢※あれば尚嬉しい・UI/UXデザイン経験・コンテンツライティング経験・コーディング知識",週3日,"240,000〜500,000円",神奈川（新横浜駅）,業務委託,正社員転職案件,案件ID：000006104999,
549,549,550,https://lancersagent.com/project/designer/006165026971225451a8dfc0e,"注目【週3日･4日･5日/UI/UXデザイナー】                                【UI/UXデザイナー】ECサイト制作                            週3日･4日･5日 | 420,000〜720,000円 / 月UI/UXデザイナーHTML・CSS週3日･4日･5日渋谷・新宿（代官山駅）デザイン業務(主にWebサイトにおけるUI/UXデザインなど)※書類選考をさせて頂きますので、ご応募時には必ず制作実績をご提出ください。詳細を見る",UI/UXデザイナー,HTML・CSS,週3日･4日･5日,渋谷・新宿（代官山駅）,                【UI/UXデザイナー】ECサイト制作 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165026971225451a8dfc0e,"デザイン業務(主にWebサイトにおけるUI/UXデザインなど)
※書類選考をさせて頂きますので、ご応募時には必ず制作実績をご提出ください。/デザイナー/UI/UX/渋谷・新宿",【週3日･4日･5日/HTML・CSS】,【UI/UXデザイナー】ECサイト制作,"420,000〜720,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS,週3日･4日･5日,渋谷・新宿（代官山駅）,デザイン業務(主にWebサイトにおけるUI/UXデザインなど)※書類選考をさせて頂きますので、ご応募時には必ず制作実績をご提出ください。,UI/UXデザイナー,HTML・CSS,・UI/UXデザインに関してHTML、マルチデバイス、Webアプリケーションなど仕様に応じたデザインを柔軟に対応出来る方。,・ECサイト制作経験・HTML/CSSの知識・デザインディレクションの経験がある方・ユーザー目線でアイデアを出すことができる方・丁寧な仕事が出来る方・新しい技術への探究心のある方・サービス全体の企画・運営に熱意を持って取り組める方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","420,000〜720,000円",渋谷・新宿（代官山駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105024,
566,566,567,https://lancersagent.com/project/designer/006164998389235197c7103,"【週4日/WEBデザイナー】                                【大募集！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー                            週4日 | 300,000〜400,000円 / 月WEBデザイナーHTML・CSS・JavaScript・WordPress・‐週4日関西：大阪・京都・神戸（近鉄日本橋駅）【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます詳細を見る",WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,"                【大募集！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー | ランサーズエージェント（Lancers Agent）            ",https://lancersagent.com//project/designer/006164998389235197c7103,"【企業概要】
弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています
2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています

【業務内容】
弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます/デザイナー/WEB/関西：大阪・京都・神戸",【週4日/HTML・CSS・JavaScript】,                        ※ 消費税別の実際にお渡しする金額です                    ,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます,WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,・バナー制作経験・WordPress等のCMS利用経験・HTML/CSS/JavaScriptでのコーディング経験,・SEOの知見・Web広告運用経験,"週4日                            
(ﾘﾓｰﾄ：一部可)","300,000〜400,000円",関西：大阪・京都・神戸（近鉄日本橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104867,
604,604,605,https://lancersagent.com/project/designer/00616499859403518197c62d7,"定番【週4日/UI/UXデザイナー】                                【大募集！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務                            週4日 | 600,000〜800,000円 / 月UI/UXデザイナーHTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React週4日品川（品川駅）資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化詳細を見る",UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,週4日,品川（品川駅）,                【大募集！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616499859403518197c62d7,"資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。

【案件内容】
・解くべき課題の選定とそのために必要なリサーチ
・課題に対する解決策の考案
・解決策をワイヤーフレームでの可視化/デザイナー/WEB/品川",【週4日/HTML・CSS・JavaScript】,【大募集！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS・JavaScript,週4日,品川（品川駅）,資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化,UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,"・xd, figma等のデザインツールを利用できる方・Webデザインの実務経験・デザイン要件の定義経験・HTML/CSS/JSの実装、もしくはWordPressの運用構築経験・toB向けUIデザインの新規製作及び改善",Webサイトのデザインガイドラインの策定②システム開発経験③Material Design/Material Theming/Material Youの知見,"週4日                            
(ﾘﾓｰﾄ：一部可)","600,000〜800,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104910,
613,613,614,https://lancersagent.com/project/designer/0061619512989880114a7f256,"注目【週3日･4日･5日/WEBデザイナー】                                【UIデザイン】金融機関のWEBシステムのUIデザイン業務                            週3日･4日･5日 | 600,000〜800,000円 / 月WEBデザイナーHTML・CSS・JavaScript週3日･4日･5日新橋・銀座・東京（築地市場駅）【案件概要】WEB上で住宅ローンを申し込む際のシステムなど金融機関向けWEBシステムのデザイン業務をご担当していただきます。新規PJですが、付随するバナーやLPなどのデザインもお任せできればと考えています。詳細を見る",WEBデザイナー,HTML・CSS・JavaScript,週3日･4日･5日,新橋・銀座・東京（築地市場駅）,                【UIデザイン】金融機関のWEBシステムのUIデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/0061619512989880114a7f256,"【案件概要】
WEB上で住宅ローンを申し込む際のシステムなど金融機関向けWEBシステムのデザイン業務をご担当していただきます。
新規PJですが、付随するバナーやLPなどのデザインもお任せできればと考えています。/デザイナー/WEB/新橋・銀座・東京",【週3日･4日･5日/HTML・CSS・JavaScript】,【UIデザイン】金融機関のWEBシステムのUIデザイン業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週3日･4日･5日,新橋・銀座・東京（築地市場駅）,【案件概要】WEB上で住宅ローンを申し込む際のシステムなど金融機関向けWEBシステムのデザイン業務をご担当していただきます。新規PJですが、付随するバナーやLPなどのデザインもお任せできればと考えています。,WEBデザイナー,HTML・CSS・JavaScript,・HTML、CSS、JavaScriptでのコーディング経験,・toBシステムのUIを設計された経験をお持ちの方・ユーザーの使いやすさを考えたUI設計や導線設計が可能な方・改善点などご自身の意見をしっかり提案していただける方・金融系の制作やPJへのご参画経験をお持ちの方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","600,000〜800,000円",新橋・銀座・東京（築地市場駅）,業務委託,※参考報酬は週4日でご稼働いただいた場合の金額です。,案件ID：000006099048,
628,628,629,https://lancersagent.com/project/designer/00616499038408653197c69eb,"【週4日/WEBデザイナー】                                【注目案件！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー                            週4日 | 300,000〜400,000円 / 月WEBデザイナーHTML・CSS・JavaScript・WordPress・‐週4日関西：大阪・京都・神戸（近鉄日本橋駅）【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます詳細を見る",WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,"                【注目案件！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー | ランサーズエージェント（Lancers Agent）            ",https://lancersagent.com//project/designer/00616499038408653197c69eb,"【企業概要】
弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています
2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています

【業務内容】
弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます/デザイナー/WEB/関西：大阪・京都・神戸",【週4日/HTML・CSS・JavaScript】,                        ※ 消費税別の実際にお渡しする金額です                    ,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます,WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,・バナー制作経験・WordPress等のCMS利用経験・HTML/CSS/JavaScriptでのコーディング経験,・SEOの知見・Web広告運用経験,"週4日                            
(ﾘﾓｰﾄ：一部可)","300,000〜400,000円",関西：大阪・京都・神戸（近鉄日本橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104775,
666,666,667,https://lancersagent.com/project/designer/00616499070993856197c6af9,"定番【週4日/UI/UXデザイナー】                                【注目案件！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務                            週4日 | 600,000〜800,000円 / 月UI/UXデザイナーHTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React週4日品川（品川駅）資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化詳細を見る",UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,週4日,品川（品川駅）,                【注目案件！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616499070993856197c6af9,"資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。

【案件内容】
・解くべき課題の選定とそのために必要なリサーチ
・課題に対する解決策の考案
・解決策をワイヤーフレームでの可視化/デザイナー/WEB/品川",【週4日/HTML・CSS・JavaScript】,【注目案件！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS・JavaScript,週4日,品川（品川駅）,資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化,UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,"・xd, figma等のデザインツールを利用できる方・Webデザインの実務経験・デザイン要件の定義経験・HTML/CSS/JSの実装、もしくはWordPressの運用構築経験・toB向けUIデザインの新規製作及び改善",Webサイトのデザインガイドラインの策定②システム開発経験③Material Design/Material Theming/Material Youの知見,"週4日                            
(ﾘﾓｰﾄ：一部可)","600,000〜800,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104819,
673,673,674,https://lancersagent.com/project/designer/00616500093460557179bc24b,"注目【週5日/Webデザイナー】                                【Webデザイナー】スマホRPGのアニメキャラ原画作成業務                            週5日 | 400,000〜600,000円 / 月WebデザイナーPhotoshopUnity週5日赤坂・永田町（白金高輪駅）①ドットアニメ制作　キャラ原画を縮小してドット化、アレンジ。ドット絵から直接アニメを作成する事もあります②2Dアセット（キャラアニメ原画）　キャラアニメ原画：キャラドット絵の下絵となるデフォルメキャラクターのアニメ原画を作成。様々なポージングを表現するスキルと、アニメーションのセンスが必要です詳細を見る",Webデザイナー,PhotoshopUnity,週5日,赤坂・永田町（白金高輪駅）,                【Webデザイナー】スマホRPGのアニメキャラ原画作成業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616500093460557179bc24b,"①ドットアニメ制作
　キャラ原画を縮小してドット化、アレンジ。ドット絵から直接アニメを作成する事もあります

②2Dアセット（キャラアニメ原画）
　キャラアニメ原画：キャラドット絵の下絵となるデフォルメキャラクターのアニメ原画を作成。様々なポージングを表現するスキルと、アニメーションのセンスが必要です/デザイナー/WEB/赤坂・永田町",【週5日/】,【Webデザイナー】スマホRPGのアニメキャラ原画作成業務,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー,,週5日,赤坂・永田町（白金高輪駅）,①ドットアニメ制作キャラ原画を縮小してドット化、アレンジ。ドット絵から直接アニメを作成する事もあります②2Dアセット（キャラアニメ原画）キャラアニメ原画：キャラドット絵の下絵となるデフォルメキャラクターのアニメ原画を作成。様々なポージングを表現するスキルと、アニメーションのセンスが必要です,Webデザイナー,"Photoshop
Unity",Photoshopでの実務経験,アニメ原画制作経験ゲーム業界での業務経験Unityでの実務経験,"週5日                            
(ﾘﾓｰﾄ：可)","400,000〜600,000円",赤坂・永田町（白金高輪駅）,業務委託,,案件ID：000006104917,
698,698,699,https://lancersagent.com/project/designer/00616498115655018197c6cac,"【週4日/WEBデザイナー】                                【即日採用！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー                            週4日 | 300,000〜400,000円 / 月WEBデザイナーHTML・CSS・JavaScript・WordPress・‐週4日関西：大阪・京都・神戸（近鉄日本橋駅）【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます詳細を見る",WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,"                【即日採用！】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー | ランサーズエージェント（Lancers Agent）            ",https://lancersagent.com//project/designer/00616498115655018197c6cac,"【企業概要】
弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています
2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています

【業務内容】
弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます/デザイナー/WEB/関西：大阪・京都・神戸",【週4日/HTML・CSS・JavaScript】,                        ※ 消費税別の実際にお渡しする金額です                    ,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます,WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,・バナー制作経験・WordPress等のCMS利用経験・HTML/CSS/JavaScriptでのコーディング経験,・SEOの知見・Web広告運用経験,"週4日                            
(ﾘﾓｰﾄ：一部可)","300,000〜400,000円",関西：大阪・京都・神戸（近鉄日本橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104637,
736,736,737,https://lancersagent.com/project/designer/00616498161379518197c6556,"定番【週4日/UI/UXデザイナー】                                【即日採用！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務                            週4日 | 600,000〜800,000円 / 月UI/UXデザイナーHTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React週4日品川（品川駅）資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化詳細を見る",UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,週4日,品川（品川駅）,                【即日採用！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616498161379518197c6556,"資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。

【案件内容】
・解くべき課題の選定とそのために必要なリサーチ
・課題に対する解決策の考案
・解決策をワイヤーフレームでの可視化/デザイナー/WEB/品川",【週4日/HTML・CSS・JavaScript】,【即日採用！】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS・JavaScript,週4日,品川（品川駅）,資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化,UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,"・xd, figma等のデザインツールを利用できる方・Webデザインの実務経験・デザイン要件の定義経験・HTML/CSS/JSの実装、もしくはWordPressの運用構築経験・toB向けUIデザインの新規製作及び改善",Webサイトのデザインガイドラインの策定②システム開発経験③Material Design/Material Theming/Material Youの知見,"週4日                            
(ﾘﾓｰﾄ：一部可)","600,000〜800,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104681,
752,752,753,https://lancersagent.com/project/designer/006164983900038051ab37298,"定番【週3日/[UI/UXデザイナー]医療領域におけるAI活用】                                【即日採用！】UI・UXデザイナー/医療領域におけるAI活用                            週3日 | 600,000〜850,000円 / 月[UI/UXデザイナー]医療領域におけるAI活用Illustrator・Photoshop・‐週3日新橋・銀座・東京（東銀座駅）具体的な業務・顧客の課題の洗い出しと対応施策の検討・具体的な機能への落とし込みとプロトタイピング、ならびにユーザーテスト・画面や画面遷移の設計、およびインタラクションの設計・デザインルールやビジュアルの設計・figma等を使ったデザインの作成・デザイナー観点からの開発プロセスの改善・変更提案詳細を見る",[UI/UXデザイナー]医療領域におけるAI活用,Illustrator・Photoshop・‐,週3日,新橋・銀座・東京（東銀座駅）,                【即日採用！】UI・UXデザイナー/医療領域におけるAI活用 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006164983900038051ab37298,"具体的な業務
・顧客の課題の洗い出しと対応施策の検討
・具体的な機能への落とし込みとプロトタイピング、ならびにユーザーテスト
・画面や画面遷移の設計、およびインタラクションの設計
・デザインルールやビジュアルの設計
・figma等を使ったデザインの作成
・デザイナー観点からの開発プロセスの改善・変更提案/デザイナー/UI/UX/新橋・銀座・東京",【週3日/】,【即日採用！】UI・UXデザイナー/医療領域におけるAI活用,"600,000〜850,000円/ 月※ 消費税別の実際にお渡しする金額です",[UI/UXデザイナー]医療領域におけるAI活用,,週3日,新橋・銀座・東京（東銀座駅）,具体的な業務・顧客の課題の洗い出しと対応施策の検討・具体的な機能への落とし込みとプロトタイピング、ならびにユーザーテスト・画面や画面遷移の設計、およびインタラクションの設計・デザインルールやビジュアルの設計・figma等を使ったデザインの作成・デザイナー観点からの開発プロセスの改善・変更提案,[UI/UXデザイナー]医療領域におけるAI活用,"Illustrator・
Photoshop・‐","・Webサイトやアプリケーションのビジュアルモックアップの作成の経験・既存プロダクトのUI/UXを改善した経験・Webサイトやアプリケーションの情報設計（IA）、デザイン要件定義（OOUI、デザイン思考、HCD - Human Centerd Design）の経験・デザインツールの利用経験 (figma, Adobe XD, Zeplin, Adobe Illustrator, Photoshopなど)・Adobe Illustrator, Photoshopの利用経験・Webに関わるビジュアルトレンドの知識・表現トレンド(マテリアルデザイン、フラットデザイン、スキューモーフィズムなど)",・顧客へのユーザーテスト、プロトタイピングの経験・HTML/CSSに関する基本的な理解・CSS構造化フレームワーク (OOCSS、BEM、SMACSS、FLOCSSなど)の経験・スタイルガイドの作成経験・サーバーサイド、クライアントサイドの技術に関する基本的な理解・スクラム開発チームでのデザイン・開発経験・デザイン工程へのスクラムの導入・実践経験・SaaSプロダクトのデザイン経験・スタートアップでの業務経験・0→1フェーズで、デザインを担当されたご経験・基幹システムなど特定ドメインの複雑な知識を前提とした画面デザイン経験・マーケティング、カスタマーサクセス、オンボーディングプロセスの知識や経験,"週3日                            
(ﾘﾓｰﾄ：可)","600,000〜850,000円",新橋・銀座・東京（東銀座駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104735,
755,755,756,https://lancersagent.com/project/designer/006164983983044951ab370ea,"定番【週3日/プロダクトデザイナー】                                【即日採用！】プロダクトデザイナー/Fintech系アプリのデザイン全般                            週3日 | 650,000〜800,000円 / 月プロダクトデザイナーFigma・Illustrator・Photoshop・GitHub週3日渋谷・新宿（表参道駅）Fintech企業の決済アプリのプロダクトデザイン全般をお任せします。プロダクトマネージャー、UXデザイナー、経営企画、開発の間に⼊り、コンセプトの立案、ユーザー体験のストーリーをユーザビリティを考慮して具体化することが主な役割となります。詳細を見る",プロダクトデザイナー,Figma・Illustrator・Photoshop・GitHub,週3日,渋谷・新宿（表参道駅）,                【即日採用！】プロダクトデザイナー/Fintech系アプリのデザイン全般 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006164983983044951ab370ea,Fintech企業の決済アプリのプロダクトデザイン全般をお任せします。プロダクトマネージャー、UXデザイナー、経営企画、開発の間に⼊り、コンセプトの立案、ユーザー体験のストーリーをユーザビリティを考慮して具体化することが主な役割となります。/デザイナー/プロダクト/渋谷・新宿,【週3日/】,【即日採用！】プロダクトデザイナー/Fintech系アプリのデザイン全般,"650,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",プロダクトデザイナー,,週3日,渋谷・新宿（表参道駅）,Fintech企業の決済アプリのプロダクトデザイン全般をお任せします。プロダクトマネージャー、UXデザイナー、経営企画、開発の間に⼊り、コンセプトの立案、ユーザー体験のストーリーをユーザビリティを考慮して具体化することが主な役割となります。,プロダクトデザイナー,Figma・Illustrator・Photoshop・GitHub,・5年以上のモバイルアプリのデザイン経験、あるいは同等の経験・ユーザー属性とユースケースに適した情報設計（IA）、画⾯設計（UI）経験・インタラクションデザインの作成経験・デザインシステムの作成、運用経験・プロトタイプ作成、ユーザビリティテストの実施経験・ビジネスレベルの⽇本語,・ユーザー調査設計・実施・分析経験・提供価値の定義、ユーザー体験設計経験・アプリ内で使用するグラフィック制作経験・HTML/CSS等の基本的なコーディングスキル・FinTechサービスのデザイン経験・ビジネスレベルの英語,"週3日                            
(ﾘﾓｰﾄ：可)","650,000〜800,000円",渋谷・新宿（表参道駅）,業務委託,,案件ID：000006104739,
