,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
5234,5234,5235,https://lancersagent.com/project/director/00616426669985807179b86fc,"注目【週3日/開発ディレクション】                                【注目案件！】子会社システム開発ディレクション                            週3日 | 600,000〜880,000円 / 月開発ディレクションPHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana週3日渋谷・新宿（原宿駅）弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理詳細を見る",開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,週3日,渋谷・新宿（原宿駅）,                【注目案件！】子会社システム開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616426669985807179b86fc,"弊社子会社の持つサービスシステムに対して、要件定義から入り、
アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。

※必要に応じて、下記内容を場合があります。
・設計の開発会社との連携
・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施
・運用面においてもCI/CD設計
・アプリからインフラ面まで幅広く管理/ディレクター/その他/渋谷・新宿",【週3日/PHP】,【注目案件！】子会社システム開発ディレクション,"600,000〜880,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクション,PHP,週3日,渋谷・新宿（原宿駅）,弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理,開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,・PHPでの開発経験2年・LAMP環境のインフラ知識を持っている・上流工程にて要件定義から開発を行った経験・外部の開発会社を使っての開発管理,・CI/CDの設計・構築経験・Sierでのクライアント要望による開発経験・クラウド環境でのインフラ設計・構築経験,"週3日                            
(ﾘﾓｰﾄ：一部可)","600,000〜880,000円",渋谷・新宿（原宿駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006100354,
5315,5315,5316,https://lancersagent.com/project/director/00616426619757016e801e46,"注目【週3日･4日･5日/Webディレクター】                                【ディレクター】子育てメディア事業のWeb・広告ディレクター業務                            週3日･4日･5日 | 400,000〜500,000円 / 月Webディレクター週3日･4日･5日五反田・恵比寿・六本木（五反田駅）自社で運営している、妊娠子育て中のママパパ向けアプリ/Webメディア事業やスクール事業のディレクション全般を担っていただける方を募集いたします。営業やクリエイティブなど、ご希望やご経験に応じて業務の幅を広げることが可能です。詳細を見る",Webディレクター,,週3日･4日･5日,五反田・恵比寿・六本木（五反田駅）,                【ディレクター】子育てメディア事業のWeb・広告ディレクター業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616426619757016e801e46,"自社で運営している、妊娠子育て中のママパパ向けアプリ/Webメディア事業やスクール事業のディレクション全般を担っていただける方を募集いたします。

営業やクリエイティブなど、ご希望やご経験に応じて業務の幅を広げることが可能です。
/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週3日･4日･5日/】,【ディレクター】子育てメディア事業のWeb・広告ディレクター業務,"400,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター,,週3日･4日･5日,五反田・恵比寿・六本木（五反田駅）,自社で運営している、妊娠子育て中のママパパ向けアプリ/Webメディア事業やスクール事業のディレクション全般を担っていただける方を募集いたします。営業やクリエイティブなど、ご希望やご経験に応じて業務の幅を広げることが可能です。,Webディレクター,,・LPやHPの開発/クリエイティブディレクション経験のご経験をお持ちの方・基本事項（Slack、Gサービス（スプレッドシート、ドキュメント）、マイクロソフトサービス（Excel、PPT））<広告>・広告代理店出身者 or 事業側で広告代理店とのやり取りの経験を有する方・過去運用した媒体数が（LINE、GDN、LIS、FB）何れか2つ以上を有する方・基本事項（Slack、Gサービス（スプレッドシート、ドキュメント）、マイクロソフトサービス（Excel、PPT））,<共通>・開発ディレクターのご経験・ITサービスの立ち上げ、運営経験・新規事業立ち上げのご経験・マネジメント経験・教育事業のご経験<広告>・ASPなどの広告構造をご理解いただいている方・SFMC、及びメールマーケティングをご理解いただいている方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000〜500,000円",五反田・恵比寿・六本木（五反田駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006100346,
5392,5392,5393,https://lancersagent.com/project/director/00616423815425206fc84db3,"注目【週3日/開発ディレクション】                                【即日採用！】子会社システム開発ディレクション                            週3日 | 600,000〜880,000円 / 月開発ディレクションPHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana週3日渋谷・新宿（原宿駅）弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理詳細を見る",開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,週3日,渋谷・新宿（原宿駅）,                【即日採用！】子会社システム開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616423815425206fc84db3,"弊社子会社の持つサービスシステムに対して、要件定義から入り、
アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。

※必要に応じて、下記内容を場合があります。
・設計の開発会社との連携
・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施
・運用面においてもCI/CD設計
・アプリからインフラ面まで幅広く管理/ディレクター/その他/渋谷・新宿",【週3日/PHP】,【即日採用！】子会社システム開発ディレクション,"600,000〜880,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクション,PHP,週3日,渋谷・新宿（原宿駅）,弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理,開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,・PHPでの開発経験2年・LAMP環境のインフラ知識を持っている・上流工程にて要件定義から開発を行った経験・外部の開発会社を使っての開発管理,・CI/CDの設計・構築経験・Sierでのクライアント要望による開発経験・クラウド環境でのインフラ設計・構築経験,"週3日                            
(ﾘﾓｰﾄ：一部可)","600,000〜880,000円",渋谷・新宿（原宿駅）,業務委託,-,案件ID：000006100113,
5451,5451,5452,https://lancersagent.com/project/director/00616328233080194179bb537,"注目【週5日/開発ディレクション】                                子会社システム開発ディレクション                            週5日 | 600,000〜880,000円 / 月開発ディレクションPHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana週5日渋谷・新宿（原宿駅）弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理詳細を見る",開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,週5日,渋谷・新宿（原宿駅）,                子会社システム開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616328233080194179bb537,"弊社子会社の持つサービスシステムに対して、要件定義から入り、
アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。

※必要に応じて、下記内容を場合があります。
・設計の開発会社との連携
・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施
・運用面においてもCI/CD設計
・アプリからインフラ面まで幅広く管理/ディレクター/その他/渋谷・新宿",【週5日/PHP】,子会社システム開発ディレクション,"600,000〜880,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクション,PHP,週5日,渋谷・新宿（原宿駅）,弊社子会社の持つサービスシステムに対して、要件定義から入り、アウトソース先の開発会社へ開発依頼を行い、開発管理を行っていただきます。※必要に応じて、下記内容を場合があります。・設計の開発会社との連携・インフラアーキテクチャや運用設計を自社のインフラ部隊と実施・運用面においてもCI/CD設計・アプリからインフラ面まで幅広く管理,開発ディレクション,PHP・Apache・Nginx・MySQL・Elasticsearch・Redis・memcached・Kibana,・PHPでの開発経験2年・LAMP環境のインフラ知識を持っている・上流工程にて要件定義から開発を行った経験・外部の開発会社を使っての開発管理,・CI/CDの設計・構築経験・Sierでのクライアント要望による開発経験・クラウド環境でのインフラ設計・構築経験,"週5日                            
(ﾘﾓｰﾄ：一部可)","600,000〜880,000円",渋谷・新宿（原宿駅）,業務委託,-,案件ID：000006099364,
5455,5455,5456,https://lancersagent.com/project/director/0061642408040309614a80523,"注目【週5日/WEBディレクター】                                【WEBディレクター】某大手保険代理店のサイトディレクション業務                            週5日 | 600,000〜800,000円 / 月WEBディレクターHTML・CSS週5日新橋・銀座・東京（東京駅）【業務内容】相談予約を行うサイトのサイト更新及び新規小規模案件の企画・設計・推進をご担当いただきます。※企業名や固有名詞についてはご面談時にご説明させていただきます。■業務詳細①メンバー統括②サイトディレクション③企画・設計■勤務場所東京駅※基本常駐■備考スーツ着用※ネクタイ不要詳細を見る",WEBディレクター,HTML・CSS,週5日,新橋・銀座・東京（東京駅）,                【WEBディレクター】某大手保険代理店のサイトディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061642408040309614a80523,"【業務内容】
相談予約を行うサイトのサイト更新及び新規小規模案件の企画・設計・推進をご担当いただきます。
※企業名や固有名詞についてはご面談時にご説明させていただきます。

■業務詳細
①メンバー統括
②サイトディレクション
③企画・設計

■勤務場所
東京駅※基本常駐

■備考
スーツ着用※ネクタイ不要
/ディレクター/ディレクションのみ/新橋・銀座・東京",【週5日/HTML・CSS】,【WEBディレクター】某大手保険代理店のサイトディレクション業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,HTML・CSS,週5日,新橋・銀座・東京（東京駅）,【業務内容】相談予約を行うサイトのサイト更新及び新規小規模案件の企画・設計・推進をご担当いただきます。※企業名や固有名詞についてはご面談時にご説明させていただきます。■業務詳細①メンバー統括②サイトディレクション③企画・設計■勤務場所東京駅※基本常駐■備考スーツ着用※ネクタイ不要,WEBディレクター,HTML・CSS,・アシスタントディレクターやデザインコーダーの管理経験・ウェブサイトの新規制作、運用の進行管理業務経験・サイト開発における企画・設計のご経験,・ウェブサイトにおけるデザインやマークアップの知見・顧客折衝の経験・主体的に業務を推進できる方,週5日,"600,000〜800,000円",新橋・銀座・東京（東京駅）,業務委託,,案件ID：000006100171,
5552,5552,5553,https://lancersagent.com/project/director/00616415515717488175fe675,"注目【週1日･2日/クリエイティブディレクター】                                【ディレクター】新規事業のクリエイティブディレクション業務                            週1日･2日 | 400,000円以上 / 月クリエイティブディレクター週1日･2日水道橋・飯田橋（湯島駅）クリエイティブ・ディレクターとして、新規チャット広告事業における、クリエイティブ作成、そのディレクション・プランニングを行っていただきます。その観点から事業の立ち上げに関わって頂きます。【求める人物像】バナーをデザイナーが作成しておりますが、CVを見据えたデザイン作成やキャッチコピーをつくる必要があり、それをまとめて頂ける方詳細を見る",クリエイティブディレクター,,週1日･2日,水道橋・飯田橋（湯島駅）,                【ディレクター】新規事業のクリエイティブディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616415515717488175fe675,"クリエイティブ・ディレクターとして、新規チャット広告事業における、クリエイティブ作成、そのディレクション・プランニングを行っていただきます。

その観点から事業の立ち上げに関わって頂きます。

【求める人物像】
バナーをデザイナーが作成しておりますが、CVを見据えたデザイン作成やキャッチコピーをつくる必要があり、それをまとめて頂ける方
/ディレクター/その他/水道橋・飯田橋",【週1日･2日/】,【ディレクター】新規事業のクリエイティブディレクション業務,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",クリエイティブディレクター,,週1日･2日,水道橋・飯田橋（湯島駅）,クリエイティブ・ディレクターとして、新規チャット広告事業における、クリエイティブ作成、そのディレクション・プランニングを行っていただきます。その観点から事業の立ち上げに関わって頂きます。【求める人物像】バナーをデザイナーが作成しておりますが、CVを見据えたデザイン作成やキャッチコピーをつくる必要があり、それをまとめて頂ける方,クリエイティブディレクター,,・クリエイティブディレクション経験,・広告（クリエイティブ）、あるいは/かつ、AI（DX）領域に興味がある方,"週1日･2日                            
(ﾘﾓｰﾄ：可)","400,000円以上",水道橋・飯田橋（湯島駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006100024,
5595,5595,5596,https://lancersagent.com/project/director/0061625212735800714a7c948,"定番【週4日･5日/WEBディレクター】                                【ディレクター】自社サービスにおけるディレクション業務                            週4日･5日 | 400,000〜550,000円 / 月WEBディレクターHTML・CSS・JavaScript・--週4日･5日渋谷・新宿（新宿三丁目駅）-「多言語広告制作のパイオニア」として業界でも認知度の高い会社です。同社は印刷会社の子会社として設立されました。英語を中心とした「多言語」に対応した制作を武器に展開してきた制作会社で、現在も紙のグラフィックデザインとウェブのクリエイティブを中心に幅広く展開しています。<募集背景> 現在対応をしているフロントエンジニアが退縮することとなり、後任のエンジニアを探しております。メイン業務はデザイナーから降ろされた内容を画面詳細を見る",WEBディレクター,HTML・CSS・JavaScript・--,週4日･5日,渋谷・新宿（新宿三丁目駅）,                【ディレクター】自社サービスにおけるディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061625212735800714a7c948,"-「多言語広告制作のパイオニア」として業界でも認知度の高い会社です。
同社は印刷会社の子会社として設立されました。英語を中心とした「多言語」に対応した制作を武器に展開してきた制作会社で、現在も紙のグラフィックデザインとウェブのクリエイティブを中心に幅広く展開しています。

&lt;募集背景&gt; 
現在対応をしているフロントエンジニアが退縮することとなり、後任のエンジニアを探しております。
メイン業務はデザイナーから降ろされた内容を画面/ディレクター/その他/渋谷・新宿",【週4日･5日/HTML・CSS・JavaScript】,【ディレクター】自社サービスにおけるディレクション業務,"400,000〜550,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,HTML・CSS・JavaScript,週4日･5日,渋谷・新宿（新宿三丁目駅）,-「多言語広告制作のパイオニア」として業界でも認知度の高い会社です。同社は印刷会社の子会社として設立されました。英語を中心とした「多言語」に対応した制作を武器に展開してきた制作会社で、現在も紙のグラフィックデザインとウェブのクリエイティブを中心に幅広く展開しています。<募集背景>現在対応をしているフロントエンジニアが退縮することとなり、後任のエンジニアを探しております。メイン業務はデザイナーから降ろされた内容を画面,WEBディレクター,HTML・CSS・JavaScript・--,・色々な業界、案件でのコーポレートサイトのディレクション経験・更新だけでなく、新規案件やリニューアル案件の経験・常時並行して複数サイトの案件進行を行った経験・WordPress を使ったサイト作成経験└テンプレートでなくオリジナルテーマでの作成└当社案件の大半がオリジナルでの作成となるため,・ CMS（Wordpress）構築のご経験・スマホサイトのディレクション経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜550,000円",渋谷・新宿（新宿三丁目駅）,業務委託,-報酬は週4日換算で算出しております,案件ID：000006099173,
5673,5673,5674,https://lancersagent.com/project/director/0061625717117128515e55d07,"定番【週4日･5日/ディレクター（shopify）】                                【shopify】自社ECサイトにおけるディレクション・制作業務                            週4日･5日 | 200,000〜500,000円 / 月ディレクター（shopify）HTML・CSS・JavaScript・₋週4日･5日神奈川（日本大通り）【案件説明】・shopifyをカスタマイズする大型案件。・shopifyアプリも別に2, 3個立ち上げる予定【業務内容】・ShopifyをベースとしたECサイト制作（主に窓口業務）・お客様からの要望をもとに、カスタマイズ作業・サイト構築後の運用、拡張開発・Shopifyアプリの実装、設定詳細を見る",ディレクター（shopify）,HTML・CSS・JavaScript・₋,週4日･5日,神奈川（日本大通り）,                【shopify】自社ECサイトにおけるディレクション・制作業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061625717117128515e55d07,"【案件説明】
・shopifyをカスタマイズする大型案件。
・shopifyアプリも別に2, 3個立ち上げる予定

【業務内容】
・ShopifyをベースとしたECサイト制作（主に窓口業務）
・お客様からの要望をもとに、カスタマイズ作業
・サイト構築後の運用、拡張開発
・Shopifyアプリの実装、設定/ディレクター/実務含む/神奈川",【週4日･5日/HTML・CSS・JavaScript】,【shopify】自社ECサイトにおけるディレクション・制作業務,"200,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",ディレクター（shopify）,HTML・CSS・JavaScript,週4日･5日,神奈川（日本大通り）,"【案件説明】・shopifyをカスタマイズする大型案件。・shopifyアプリも別に2, 3個立ち上げる予定【業務内容】・ShopifyをベースとしたECサイト制作（主に窓口業務）・お客様からの要望をもとに、カスタマイズ作業・サイト構築後の運用、拡張開発・Shopifyアプリの実装、設定",ディレクター（shopify）,HTML・CSS・JavaScript・₋,・shopify構築経験,・アプリ選定/liquidの実装経験/shopify CLIの知識,週4日･5日,"200,000〜500,000円",神奈川（日本大通り）,業務委託,※報酬金額は【驟雨5日（月20日）換算】した際の金額です,案件ID：000006099191,
5676,5676,5677,https://lancersagent.com/project/director/00616395605437012179bd650,"定番【週4日･5日/Webディレクター（ブランド直販グループ）】                                【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務                            週4日･5日 | 300,000〜700,000円 / 月Webディレクター（ブランド直販グループ）HTML・CSS・JavaScript週4日･5日新橋・銀座・東京（有楽町駅）定額制ECサイト制作サービスのディレクション業務をお願いします。クライアントの商品の売り上げがあがるような、バナーデザイン、LPデザインのWebディレクション業務になります。詳細を見る",Webディレクター（ブランド直販グループ）,HTML・CSS・JavaScript,週4日･5日,新橋・銀座・東京（有楽町駅）,                【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616395605437012179bd650,定額制ECサイト制作サービスのディレクション業務をお願いします。クライアントの商品の売り上げがあがるような、バナーデザイン、LPデザインのWebディレクション業務になります。/ディレクター/ディレクションのみ/新橋・銀座・東京,【週4日･5日/HTML・CSS・JavaScript】,【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務,"300,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター（ブランド直販グループ）,HTML・CSS・JavaScript,週4日･5日,新橋・銀座・東京（有楽町駅）,定額制ECサイト制作サービスのディレクション業務をお願いします。クライアントの商品の売り上げがあがるような、バナーデザイン、LPデザインのWebディレクション業務になります。,Webディレクター（ブランド直販グループ）,HTML・CSS・JavaScript,・バナー、LPなどのWebディレクション経験がある方・CSS、JavaScriptでの実務経験・Photoshopで修正などができること・ECサイトの立ち上げ経験者、立ち上げコーディングの経験がある方,・ECサイト(Yahoo!、楽天、Paypayなど)の制作ディレクション経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)","300,000〜700,000円",新橋・銀座・東京（有楽町駅）,業務委託,表記報酬は、月20営業日稼働時の報酬となります。,案件ID：000006099809,
5689,5689,5690,https://lancersagent.com/project/director/00616401392079161f7cf35b,"注目【週5日/開発ディレクター（ポイントサービス運用・改修）】                                【開発ディレクター】BtoC向けポイントサービス運用およびシステム改修のディレクション業務                            週5日 | 600,000〜780,000円 / 月開発ディレクター（ポイントサービス運用・改修）HTML・CSS週5日五反田・恵比寿・六本木（六本木一丁目駅）【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は弊社で対応しています大手ポイントサービス（BtoC）に関する、サービス運用及びシステム改修のディレクション業務をお願いしたいと考えています。詳細を見る",開発ディレクター（ポイントサービス運用・改修）,HTML・CSS,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,                【開発ディレクター】BtoC向けポイントサービス運用およびシステム改修のディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616401392079161f7cf35b,"【業務概要】
※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。

今回は弊社で対応しています大手ポイントサービス（BtoC）に関する、
サービス運用及びシステム改修のディレクション業務をお願いしたいと考えています。
/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/HTML・CSS】,【開発ディレクター】BtoC向けポイントサービス運用およびシステム改修のディレクション業務,"600,000〜780,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクター（ポイントサービス運用・改修）,HTML・CSS,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は弊社で対応しています大手ポイントサービス（BtoC）に関する、サービス運用及びシステム改修のディレクション業務をお願いしたいと考えています。,開発ディレクター（ポイントサービス運用・改修）,HTML・CSS,・開発ディレクション経験あり・WF、画面遷移図、サイトマップの作成・HTML、CSSの基礎的な知識・Backlogなどを利用したWiki（マークダウン）の記載・PJ管理業務に準ずるWBS、ガントチャート作成・メールやコミュニケーションツールを用いた外部とのビジネス的な文章でのやりとり・MicrosoftOfficeを利用した事務的なスキル,・BtoCサービスでのディレクション経験・ユーザー集客系施策の実施経験,"週5日                            
(ﾘﾓｰﾄ：可)","600,000〜780,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,就業時間：9時-18時前後,案件ID：000006099878,
5695,5695,5696,https://lancersagent.com/project/director/0061640165891056614a80f27,"定番【週5日/WEBディレクター（5Gエンタメサービス）】                                【WEBディレクター】5GエンタメのプロダクトでのWEBディレクター                            週5日 | 600,000〜700,000円 / 月WEBディレクター（5Gエンタメサービス）週5日五反田・恵比寿・六本木（六本木一丁目駅）今回は5Gエンタメのプロダクトにおける新規サービス企画の支援業務及びディレクション業務を行っていただく方を募集しております。詳細を見る",WEBディレクター（5Gエンタメサービス）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,【WEBディレクター】5GエンタメのプロダクトでのWEBディレクター | ランサーズエージェント（Lancers Agent）,https://lancersagent.com//project/director/0061640165891056614a80f27,今回は5Gエンタメのプロダクトにおける新規サービス企画の支援業務及びディレクション業務を行っていただく方を募集しております。/ディレクター/ディレクションのみ/五反田・恵比寿・六本木,【週5日/】,【WEBディレクター】5GエンタメのプロダクトでのWEBディレクター,"600,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（5Gエンタメサービス）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,今回は5Gエンタメのプロダクトにおける新規サービス企画の支援業務及びディレクション業務を行っていただく方を募集しております。,WEBディレクター（5Gエンタメサービス）,,"・Webサービスにおけるディレクション経験（3年以上）・社内外含めた円滑なコミュニケーションスキル・Microsoft Office（Word, Excel, PowerPointなど）などでドキュメント制作・Slack, Confluence, JIRAなどでコミュニケーション対応とその補足・Backlogなどでプロジェクト管理","・Figmaなどでプロトタイピング、モック、ワイヤー制作・Adobe（PhotoShop, Illustratorなど）でクリエイティブ制作・Google Analyticsなどでデータ分析","週5日                            
(ﾘﾓｰﾄ：可)","600,000〜700,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,就業時間：9時-18時前後,案件ID：000006099887,
5697,5697,5698,https://lancersagent.com/project/director/006164196688669338cb8a22,"定番【週4日･5日/Webディレクター（ECモール運用支援案件）】                                【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務                            週4日･5日 | 300,000〜700,000円 / 月Webディレクター（ECモール運用支援案件）HTML・CSS・JavaScript週4日･5日新橋・銀座・東京（有楽町駅）EC運用支援グループでディレクター業務をお願いします。クライアントの楽天とPaypayモールの運用支援が主業務となります。楽天やPapayモールイベントにあわせて、クライアントと相談しながら、管理画面の設定や、コーディング、メルマガ配信などECの店舗運用のディレクションを行っていただきます。詳細を見る",Webディレクター（ECモール運用支援案件）,HTML・CSS・JavaScript,週4日･5日,新橋・銀座・東京（有楽町駅）,                【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/006164196688669338cb8a22,"EC運用支援グループでディレクター業務をお願いします。
クライアントの楽天とPaypayモールの運用支援が主業務となります。
楽天やPapayモールイベントにあわせて、クライアントと相談しながら、管理画面の設定や、コーディング、メルマガ配信などECの店舗運用のディレクションを行っていただきます。/ディレクター/ディレクションのみ/新橋・銀座・東京",【週4日･5日/HTML・CSS・JavaScript】,【Webディレクター】大手企業ECサイトの制作・更新のディレクション業務,"300,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター（ECモール運用支援案件）,HTML・CSS・JavaScript,週4日･5日,新橋・銀座・東京（有楽町駅）,EC運用支援グループでディレクター業務をお願いします。クライアントの楽天とPaypayモールの運用支援が主業務となります。楽天やPapayモールイベントにあわせて、クライアントと相談しながら、管理画面の設定や、コーディング、メルマガ配信などECの店舗運用のディレクションを行っていただきます。,Webディレクター（ECモール運用支援案件）,HTML・CSS・JavaScript,・ECサイト(Yahoo!、楽天、Paypay)の制作ディレクション経験・バナー、LPなどのWebディレクション経験がある方・CSS、JavaScriptでの実務経験・Photoshopで修正などができること,・ECサイトの立ち上げ経験者、立ち上げコーディングの経験がある方,"週4日･5日                            
(ﾘﾓｰﾄ：可)","300,000〜700,000円",新橋・銀座・東京（有楽町駅）,業務委託,表記報酬は、月20営業日稼働時の報酬となります。,案件ID：000006100031,
5753,5753,5754,https://lancersagent.com/project/director/0061640312731073614a80857,"定番【週3日･4日･5日/WEBディレクター】                                ゲーム攻略メディア運営企業でのデータ分析業務                            週3日･4日･5日 | 500,000〜700,000円 / 月WEBディレクター週3日･4日･5日渋谷・新宿（渋谷駅）当社は、日本最大級のゲーム総合情報メディアを運営しています。ゲームメディアの新規開発領域においてのディレクション業務をご担当いただきます。詳細を見る",WEBディレクター,,週3日･4日･5日,渋谷・新宿（渋谷駅）,                ゲーム攻略メディア運営企業でのデータ分析業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061640312731073614a80857,"当社は、日本最大級のゲーム総合情報メディアを運営しています。
ゲームメディアの新規開発領域においてのディレクション業務をご担当いただきます。/ディレクター/ディレクションのみ/渋谷・新宿",【週3日･4日･5日/】,ゲーム攻略メディア運営企業でのデータ分析業務,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週3日･4日･5日,渋谷・新宿（渋谷駅）,当社は、日本最大級のゲーム総合情報メディアを運営しています。ゲームメディアの新規開発領域においてのディレクション業務をご担当いただきます。,WEBディレクター,,・WEBサービスのディレクション業務のご経験・データを活用した施策立案のご経験,・開発への知見をお持ちの方・ネットマーケティングの知見・市場調査、リサーチのご経験・ゲーム業界でのご経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",渋谷・新宿（渋谷駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です,案件ID：000006099933,
